"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","264","Create file with empty directory","LMS service","Mon Feb 16 08:14:37 UTC 2026","passed","Mon Feb 16 08:14:37 UTC 2026","Validate entity","Files","",""
"","267","Get file with incorrect file id","LMS service","Mon Feb 16 08:14:37 UTC 2026","passed","Mon Feb 16 08:14:38 UTC 2026","Validate entity","Files","",""
"","296","Update exercise","LMS service","Mon Feb 16 08:14:33 UTC 2026","passed","Mon Feb 16 08:14:34 UTC 2026","Update entity","Exercises","",""
"","289","Create user","LMS service","Mon Feb 16 08:14:38 UTC 2026","passed","Mon Feb 16 08:14:38 UTC 2026","Create entity","Users","",""
"","302","Update course","LMS service","Mon Feb 16 08:14:31 UTC 2026","passed","Mon Feb 16 08:14:31 UTC 2026","Update entity","Courses","",""
"","17","Get file","LMS service","Mon Feb 16 08:14:35 UTC 2026","passed","Mon Feb 16 08:14:35 UTC 2026","Get entity","Files","",""
"","538","Create user","LMS service","Mon Feb 16 08:14:37 UTC 2026","passed","Mon Feb 16 08:14:38 UTC 2026","Create entity","Users","",""
"","285","Login with correct email and password","LMS service","Mon Feb 16 08:14:29 UTC 2026","passed","Mon Feb 16 08:14:29 UTC 2026","Login","Authentication","",""
"","546","Create user","LMS service","Mon Feb 16 08:14:38 UTC 2026","passed","Mon Feb 16 08:14:38 UTC 2026","Create entity","Users","",""
"","269","Create file","LMS service","Mon Feb 16 08:14:34 UTC 2026","passed","Mon Feb 16 08:14:35 UTC 2026","Create entity","Files","",""
"","29","Create course","LMS service","Mon Feb 16 08:14:30 UTC 2026","passed","Mon Feb 16 08:14:30 UTC 2026","Create entity","Courses","",""
"","21","Get exercise","LMS service","Mon Feb 16 08:14:33 UTC 2026","passed","Mon Feb 16 08:14:33 UTC 2026","Get entity","Exercises","",""
"","292","Create exercise","LMS service","Mon Feb 16 08:14:31 UTC 2026","passed","Mon Feb 16 08:14:32 UTC 2026","Create entity","Exercises","",""
"","303","Get exercises","LMS service","Mon Feb 16 08:14:32 UTC 2026","passed","Mon Feb 16 08:14:32 UTC 2026","Get entities","Exercises","",""
"","21","Delete file","LMS service","Mon Feb 16 08:14:36 UTC 2026","passed","Mon Feb 16 08:14:36 UTC 2026","Delete entity","Files","",""
"","22","Delete exercise","LMS service","Mon Feb 16 08:14:34 UTC 2026","passed","Mon Feb 16 08:14:34 UTC 2026","Delete entity","Exercises","",""
"","261","Create file with empty filename","LMS service","Mon Feb 16 08:14:36 UTC 2026","passed","Mon Feb 16 08:14:36 UTC 2026","Validate entity","Files","",""
"","15","Get user me","LMS service","Mon Feb 16 08:14:39 UTC 2026","passed","Mon Feb 16 08:14:39 UTC 2026","Get entity","Users","",""
"","30","Get courses","LMS service","Mon Feb 16 08:14:30 UTC 2026","passed","Mon Feb 16 08:14:30 UTC 2026","Get entities","Courses","",""
